French,English
partie,part
histoire,history
seulement,only
police,police
mois,month
frère,brother
car,because
aucun,no
laisse,leash
chaque,each
devrait,should
bébé,baby
vont,will
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
donné,given
train,train
corps,body
dont,whose
trouve,find
premier,first
première,first
vieux,old
tiens,here
matin,morning
point,point
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
parti,left
dirait,would say
compte,account
donne,given
loin,far
fin,end
bureau,office
